Subset,Recording,Sensor,NumberOfTimeGaps,MeanGap_ms,MedianGap_ms,StdGap_ms,MinGap_ms,MaxGap_ms,MeanOverMedianRatio
dynamic_motion,Lissajous_fast,Mark-10 (dataMark10_-y.csv),29616,3.01949578417371,2.92611122131348,0.379421723258198,2.22396850585938,18.7978744506836,1.03191422191338
dynamic_motion,Lissajous_slow,ATI force/torque,17997,5.00055214441597,0.182867050170898,7.0834037663534,0.0579357147216797,16.3440704345703,27.3452879550619
dynamic_motion,Lissajous_slow,FBG shape sensor,8993,10.0078751112163,9.03201103210449,8.85779727737522,0.0200271606445312,68.9501762390137,1.10804504950703
dynamic_motion,Lissajous_slow,OptiTrack motion capture,10977,8.3334077367846,8.32700729370117,0.528116605132445,6.15787506103516,10.5385780334473,1.00076863666113
dynamic_motion,Lissajous_slow,Motor encoders,37836,2.26479678013345,2.00891494750977,4.50300930019792,1.71995162963867,139.295816421509,1.12737315382161
dynamic_motion,Lissajous_slow,Mark-10 (dataMark10_+x.csv),31143,2.86908245873666,2.79998779296875,0.365484256981228,2.26998329162598,18.6100006103516,1.02467677392788
dynamic_motion,Lissajous_slow,Mark-10 (dataMark10_+y.csv),30710,2.90876828432471,2.82406806945801,0.378544020218515,2.24518775939941,18.3432102203369,1.0299922710018
dynamic_motion,Lissajous_slow,Mark-10 (dataMark10_-x.csv),29858,2.99430705576494,2.8839111328125,0.364794043961027,2.34603881835938,18.916130065918,1.03827993231011
dynamic_motion,Lissajous_slow,Mark-10 (dataMark10_-y.csv),29657,3.01557598229135,2.91895866394043,0.369940654037154,2.31003761291504,18.651008605957,1.033099926883
dynamic_motion,circle_fast,ATI force/torque,17998,5.00047877174256,0.174045562744141,7.09208429160066,0.0579357147216797,16.3590908050537,28.7308604304588
dynamic_motion,circle_fast,FBG shape sensor,8997,10.0038353967789,8.91995429992676,8.80464424745229,0.0219345092773438,51.4419078826904,1.12151195627325
dynamic_motion,circle_fast,OptiTrack motion capture,10977,8.33337950100499,8.32462310791016,0.507443648268154,6.24513626098633,10.1358890533447,1.00105186661082
dynamic_motion,circle_fast,Motor encoders,37187,2.30936730709728,1.99103355407715,6.25492001367274,1.71709060668945,140.3489112854,1.1598836706535
dynamic_motion,circle_fast,Mark-10 (dataMark10_+x.csv),30207,2.95928377228586,2.85601615905762,0.392866820795424,2.24995613098145,18.7580585479736,1.03615792330192
dynamic_motion,circle_fast,Mark-10 (dataMark10_+y.csv),30295,2.94972193243087,2.84290313720703,0.377542652555901,2.23803520202637,18.3038711547852,1.03757384267717
dynamic_motion,circle_fast,Mark-10 (dataMark10_-x.csv),28681,3.11841877770097,2.93898582458496,8.44741833536117,2.3648738861084,1017.61293411255,1.06105267729263
dynamic_motion,circle_fast,Mark-10 (dataMark10_-y.csv),29291,3.054497929042,2.92801856994629,5.85967684088226,2.24900245666504,1003.77607345581,1.0431962284645
dynamic_motion,circle_slow,ATI force/torque,17999,5.00019768011743,0.165939331054688,7.10648542729649,0.0569820404052734,16.3500308990479,30.132685532338
dynamic_motion,circle_slow,FBG shape sensor,8996,10.0043699337462,9.27054882049561,8.7885447838085,0.0178813934326172,49.3638515472412,1.0791561672841
dynamic_motion,circle_slow,OptiTrack motion capture,10977,8.3332988987141,8.32438468933105,0.52340318068975,1.30891799926758,16.7555809020996,1.00107085505004
dynamic_motion,circle_slow,Motor encoders,40532,2.11734289032656,1.98888778686523,3.81001263842584,1.70493125915527,136.794090270996,1.06458640065551
dynamic_motion,circle_slow,Mark-10 (dataMark10_+x.csv),30253,2.95293140824332,2.84314155578613,0.376684392946019,2.23994255065918,18.0740356445312,1.03861568279418
dynamic_motion,circle_slow,Mark-10 (dataMark10_+y.csv),30043,2.97280015479755,2.85196304321289,0.365705932319335,2.52413749694824,18.0811882019043,1.0423698027477
dynamic_motion,circle_slow,Mark-10 (dataMark10_-x.csv),29353,3.04541228654392,2.93803215026855,0.361447720142657,2.55990028381348,18.4848308563232,1.03654831900514
dynamic_motion,circle_slow,Mark-10 (dataMark10_-y.csv),29628,3.01793972071775,2.91991233825684,0.354972476119107,2.23994255065918,18.0709362030029,1.03357202926148
dynamic_motion,plane_x_fast,ATI force/torque,7996,5.00181303911653,0.174999237060547,7.0935617131256,0.0579357147216797,16.15309715271,28.5819134022052
dynamic_motion,plane_x_fast,FBG shape sensor,3998,10.0060422280957,8.97300243377686,8.82174242124447,0.0259876251220703,44.3170070648193,1.11512755088868
dynamic_motion,plane_x_fast,OptiTrack motion capture,4980,8.33339221984986,8.32951068878174,0.513810524783631,7.01189041137695,9.84883308410645,1.00046599748931
dynamic_motion,plane_x_fast,Motor encoders,16711,2.1446062499706,1.98793411254883,4.1928108954305,1.72209739685059,135.814905166626,1.07881153426201
dynamic_motion,plane_x_fast,Mark-10 (dataMark10_+x.csv),13186,2.98547254750712,2.87985801696777,0.36370006162148,2.51197814941406,5.52105903625488,1.03667351998504
dynamic_motion,plane_x_fast,Mark-10 (dataMark10_+y.csv),15699,2.50598541285037,2.42519378662109,0.293567301422391,2.20799446105957,5.37991523742676,1.03331347238104
dynamic_motion,plane_x_fast,Mark-10 (dataMark10_-x.csv),12878,3.06069264039432,2.94709205627441,0.353834653580794,2.38204002380371,5.6760311126709,1.03854666971737
dynamic_motion,plane_x_fast,Mark-10 (dataMark10_-y.csv),15239,2.58834949197775,2.50411033630371,0.288602274248179,2.29978561401367,4.93097305297852,1.03364035300393
dynamic_motion,plane_x_slow,ATI force/torque,7998,5.00108787911509,0.174045562744141,7.09768749395195,0.0588893890380859,16.118049621582,28.7343601311287
dynamic_motion,plane_x_slow,FBG shape sensor,3999,10.0078137405636,8.91900062561035,8.89246089157547,0.0231266021728516,51.0821342468262,1.12207792785963
dynamic_motion,plane_x_slow,OptiTrack motion capture,4980,8.33336397347201,8.32843780517578,0.506855338070979,6.48236274719238,10.2369785308838,1.00059148767289
dynamic_motion,plane_x_slow,Motor encoders,17490,2.0483515615665,1.98721885681152,2.41372309615226,1.71995162963867,138.950824737549,1.03076294518112
dynamic_motion,plane_x_slow,Mark-10 (dataMark10_+x.csv),13470,2.92137892226776,2.81596183776855,0.36173823324678,2.52699851989746,17.8909301757812,1.0374355515353
